ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
301408.SZ,20260130,100908,21417.15,58887,12513.13,68568,14577.34,82656,17559.25,41060,8741.01,64947,13802.44,13779,2923.28,17823,3783.96,-12842,-2728.71
001317.SZ,20260130,11054,5331.4,12117,5846.23,11489,5540.46,11689,5638.71,5882,2838.0,4835,2329.19,617,298.93,401,194.66,-941,-449.41
000981.SZ,20260130,2389969,113105.0,2241565,106224.19,2374204,112480.06,2283009,108155.29,1499974,71138.35,1657121,78580.65,852845,40622.55,935298,44385.83,-354947,-16095.15
002365.SZ,20260130,47426,7050.59,40076,5955.14,29038,4313.11,30712,4566.31,11266,1674.85,16744,2488.95,1287,194.34,1485,222.49,-7476,-1096.68
003036.SZ,20260130,10427,1652.05,9254,1466.84,8708,1380.12,7499,1190.1,1396,221.93,2935,464.71,1520,238.79,2363,371.24,3325,530.13
600608.SH,20260130,26852,1036.36,26347,1013.55,31464,1226.27,29621,1152.78,13092,516.34,10739,423.84,300,11.7,5000,200.5,12980,538.08
688177.SH,20260130,12542,2967.22,12689,3002.13,6282,1482.22,6265,1478.92,2151,509.93,1707,403.36,985,232.18,1299,307.15,-1224,-285.04
002214.SZ,20260130,1614,304.4,155,29.2,2988,563.54,1155,217.87,2279,429.82,3641,686.69,0,0.0,1930,364.0,6881,1297.76
603021.SH,20260130,25706,1381.48,25500,1369.55,30012,1612.46,29752,1600.58,11368,608.12,11834,631.94,0,0.0,0,0.0,-9494,-504.05
301319.SZ,20260130,9238,4470.02,6988,3380.3,5579,2699.33,5250,2541.26,3639,1759.03,5032,2435.06,1155,558.98,2341,1130.74,1189,581.41
002497.SZ,20260130,205338,50824.67,165376,41005.51,220879,54713.11,193872,48091.86,177642,44021.06,192141,47697.53,80226,19870.99,132695,32634.93,-129473,-31817.86
600439.SH,20260130,179509,5111.91,194278,5529.13,94256,2682.91,79697,2268.17,30428,864.51,30218,862.03,4000,113.2,4000,113.2,-83635,-2371.25
002110.SZ,20260130,229213,10251.74,182672,8204.65,184237,8250.29,164481,7386.07,124543,5622.63,171097,7668.52,11298,517.83,31041,1383.26,-78639,-3424.77
300863.SZ,20260130,20361,12034.31,21230,12505.41,30865,18196.08,30299,17848.99,28389,16756.02,27578,16319.3,7504,4449.57,8012,4762.28,15700,9319.32
300472.SZ,20260130,13641,1098.36,12283,996.01,31687,2559.56,29595,2390.43,16116,1297.91,17755,1431.99,4641,376.8,6452,514.2,539,55.13
001333.SZ,20260130,11621,3061.43,11174,2944.97,8548,2250.41,9395,2474.21,2899,764.81,2516,661.96,17,4.49,0,0.0,3469,915.91
300333.SZ,20260130,30964,3312.0,21422,2294.27,22191,2372.38,22123,2367.25,11719,1254.14,18981,2026.9,1640,173.84,3988,423.94,-9729,-1040.64
688508.SH,20260130,44166,32105.99,48417,35220.82,42928,31209.05,39319,28594.37,25859,18816.84,26880,19525.3,6019,4378.42,4356,3169.8,5490,3957.91
000716.SZ,20260130,150026,9620.12,142515,9143.97,147739,9476.57,158899,10188.2,92145,5902.13,93297,5979.06,31433,2017.77,26631,1705.35,47629,3075.52
603132.SH,20260130,22061,4296.48,21238,4139.58,16054,3127.24,20721,4039.03,13473,2626.1,13144,2558.14,9332,1817.75,5817,1130.82,17170,3330.23
